Sample,,,,,,,FA14:0 Results,,DMA 16:0 Results,,FA16:0 Results,,FA16:1n7 Results,,DMA 18:0 Results,,DMA 18:1 Results,,FA18:0 Results,,FA18:1n9 Results,,FA18:2n6 Results,,FA18:3n6 Results,,FA18:4n3 Results,,FA20:0 Results,,FA20:1n9 Results,,FA20:2n6 Results,,FA20:3n6 Results,,FA20:4n6 Results,,FA22:0 Results,,FA20:5n3 Results,,FA22:1n9 Results,,FA22:4n6 Results,,FA22:6n3 Results,,FA22:5n3 Results,,FA24:0 Results,,FA24:1n9 Results,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT
,,137_Sample81,F-038-32-137_SAMPLE81.D,Sample,,10/9/2025 3:08 AM,125349,3.950,31180,4.625,1600384,4.900,75403,5.100,26939,5.695,26874,5.930,1325866,6.115,1833054,6.315,687271,6.681,15984,6.930,7010,7.155,68403,7.563,21073,7.813,12806,8.261,27287,8.518,136698,8.686,42699,9.175,15771,9.433,145020,9.948,15117,10.178,5405,10.628,38462,10.968,11114,11.163,100733,11.334
,,139_Sample82,F-040-33-139_SAMPLE82.D,Sample,,10/9/2025 3:48 AM,151110,3.950,59347,4.625,2247120,4.900,93453,5.100,24948,5.695,22627,5.930,1811078,6.115,1646734,6.314,485016,6.680,7653,6.930,6131,7.158,114172,7.568,149358,7.812,11105,8.261,8476,8.517,59383,8.683,77582,9.175,3489064,9.461,134037,9.949,14001,10.190,1076,10.625,30776,10.966,8142,11.162,104921,11.330
,,140_Sample83,F-041-34-140_SAMPLE83.D,Sample,,10/9/2025 4:07 AM,372886,3.950,218679,4.625,6122637,4.900,458486,5.100,131773,5.695,72786,5.930,2967948,6.115,9805155,6.330,3073882,6.688,23561,6.930,48812,7.156,83830,7.568,173587,7.812,94970,8.257,174155,8.518,1294716,8.691,132704,9.175,155296,9.434,163514,9.950,23757,10.190,31050,10.628,135280,10.970,108601,11.162,477622,11.343
,,141_Sample84,F-042-35-141_SAMPLE84.D,Sample,,10/9/2025 4:27 AM,138494,3.950,36750,4.625,1236621,4.900,53587,5.100,19620,5.695,27342,5.930,837274,6.115,1060681,6.315,542414,6.679,13568,6.930,4562,7.158,49244,7.568,17274,7.813,6650,8.270,23390,8.520,118466,8.684,45241,9.175,79662,9.435,150499,9.951,11155,10.184,2114,10.624,39291,10.968,8212,11.163,97822,11.331
,,142_Sample85,F-043-36-142_SAMPLE85.D,Sample,,10/9/2025 4:46 AM,1037048,3.950,173484,4.643,13246991,4.900,2339566,5.100,215179,5.695,39405,5.930,3679242,6.133,26318164,6.330,8060971,6.711,77795,6.930,182271,7.157,125757,7.573,266116,7.813,140760,8.258,222828,8.520,781977,8.688,197710,9.175,115904,9.434,231518,9.951,29824,10.190,22700,10.629,174257,10.972,109456,11.162,491651,11.339
,,143_Sample86,F-044-37-143_SAMPLE86.D,Sample,,10/9/2025 5:06 AM,516383,3.950,131122,4.636,7468180,4.900,1060869,5.100,116752,5.695,31797,5.930,2546911,6.115,12049837,6.330,6965694,6.703,118214,6.930,91793,7.159,102344,7.572,112807,7.811,85221,8.259,257572,8.521,1070993,8.689,137094,9.183,80893,9.433,162958,9.953,18580,10.190,14712,10.630,144623,10.972,72451,11.163,443053,11.339
,,144_Sample85B,F-045-38-144_SAMPLE85B.D,Sample,,10/9/2025 5:26 AM,51560,3.950,26393,4.641,419857,4.900,70335,5.100,30160,5.695,2964,5.930,122500,6.115,920395,6.309,293214,6.678,5666,6.930,4696,7.157,5455,7.567,6765,7.811,3656,8.258,8584,8.521,32332,8.683,4863,9.183,4025,9.433,8299,9.949,950,10.201,2545,10.629,3610,10.973,13318,11.157,15367,11.338
,,145_Sample87,F-046-39-145_SAMPLE87.D,Sample,,10/9/2025 5:45 AM,521502,3.950,110297,4.625,6472839,4.900,343985,5.100,67545,5.695,13300,5.964,8061121,6.115,6709894,6.334,3028805,6.690,23358,6.930,123954,7.157,170682,7.570,101333,7.813,87129,8.260,76721,8.520,323045,8.686,101984,9.175,41953,9.434,102898,9.950,61002,10.226,11150,10.628,104317,10.968,16401,11.163,121096,11.335
,,146_Sample88,F-047-40-146_SAMPLE88.D,Sample,,10/9/2025 6:05 AM,225570,3.950,62358,4.625,2526792,4.900,116373,5.100,28471,5.695,32202,5.930,1420224,6.115,2893700,6.314,1085865,6.684,12337,6.930,15552,7.157,51668,7.565,37881,7.813,23282,8.261,42905,8.518,172986,8.687,55464,9.175,75330,9.436,182492,9.952,15359,10.190,5295,10.629,45148,10.972,15737,11.164,95777,11.338
,,147_Sample89,F-048-41-147_SAMPLE89.D,Sample,,10/9/2025 6:24 AM,163329,3.950,55644,4.625,1807813,4.900,92632,5.100,36888,5.695,32610,5.930,1083465,6.115,1702191,6.314,1202396,6.683,23640,6.930,11512,7.157,51407,7.569,17880,7.812,12215,8.263,55767,8.518,271081,8.687,81989,9.175,71815,9.435,172857,9.953,13620,10.181,4665,10.628,52920,10.971,19696,11.161,135216,11.337
,,148_Sample90,F-049-42-148_SAMPLE90.D,Sample,,10/9/2025 6:44 AM,207822,3.950,78370,4.625,2484660,4.900,93531,5.100,44574,5.695,30260,5.930,1510174,6.115,1723090,6.310,970114,6.679,11433,6.930,5643,7.155,134522,7.561,23986,7.813,21171,8.268,25026,8.517,184957,8.687,83015,9.175,69363,9.434,180642,9.953,15082,10.182,4753,10.628,83056,10.972,12057,11.164,190558,11.333
,,150_Sample91,F-051-43-150_SAMPLE91.D,Sample,,10/9/2025 7:23 AM,220379,3.950,77776,4.625,2516964,4.900,236645,5.100,56236,5.695,46288,5.930,1509954,6.115,3264043,6.319,1302476,6.683,18328,6.930,14008,7.157,56897,7.568,45257,7.812,49568,8.270,51811,8.519,309714,8.687,74017,9.175,77134,9.434,180895,9.951,14925,10.186,10466,10.630,72174,10.972,19058,11.163,156803,11.334
,,151_Sample92,F-052-44-151_SAMPLE92.D,Sample,,10/9/2025 7:43 AM,132872,3.950,49238,4.625,1384885,4.900,55899,5.100,34757,5.695,31667,5.930,940448,6.115,1318662,6.313,691238,6.678,13531,6.930,6406,7.158,40118,7.567,17468,7.813,8651,8.260,43358,8.519,149934,8.686,46645,9.175,72797,9.435,159319,9.952,9703,10.187,2913,10.625,35433,10.970,9979,11.164,75331,11.334
,,152_Sample93,F-053-45-152_SAMPLE93.D,Sample,,10/9/2025 8:02 AM,222024,3.950,102550,4.625,3042062,4.900,147764,5.100,56066,5.695,42668,5.930,1721675,6.115,3407184,6.317,2096727,6.682,22938,6.930,16794,7.157,61499,7.568,45729,7.811,33205,8.262,121559,8.517,584117,8.688,102526,9.175,77163,9.434,174333,9.952,16927,10.190,11870,10.628,70243,10.969,38894,11.162,252324,11.338
,,153_Sample94,F-054-46-153_SAMPLE94.D,Sample,,10/9/2025 8:22 AM,395664,3.950,127705,4.625,5328477,4.900,481653,5.100,107654,5.695,39499,5.930,2285582,6.115,9594094,6.330,5350555,6.696,38237,6.930,47314,7.155,96205,7.569,112943,7.814,61527,8.256,266724,8.521,933698,8.690,181459,9.175,91423,9.433,181984,9.952,26975,10.190,23687,10.628,169620,10.971,69711,11.159,424022,11.340
,,154_Sample95,F-055-47-154_SAMPLE95.D,Sample,,10/9/2025 8:41 AM,291581,3.950,90213,4.625,3812057,4.900,109631,5.100,68505,5.695,64473,5.930,2633176,6.115,2711762,6.317,1626762,6.685,26265,6.930,14145,7.158,95861,7.568,35989,7.813,25574,8.265,139487,8.521,421984,8.687,122735,9.175,120227,9.434,289923,9.955,24821,10.190,9646,10.629,102087,10.973,33206,11.163,272014,11.340
,,155_Sample96,F-056-48-155_SAMPLE96.D,Sample,,10/9/2025 9:01 AM,238577,3.950,69402,4.625,3773874,4.900,211049,5.100,50772,5.695,29606,5.930,2055208,6.115,4724119,6.323,2342570,6.687,35511,6.930,20060,7.154,57202,7.570,79189,7.815,55289,8.263,177882,8.520,1145177,8.688,79590,9.175,92973,9.433,204744,9.953,29988,10.190,36868,10.628,72119,10.970,47987,11.164,307109,11.339
,,156_Sample97,F-057-49-156_SAMPLE97.D,Sample,,10/9/2025 9:20 AM,303280,3.950,165116,4.625,5040372,4.900,358422,5.100,95065,5.695,55435,5.930,2433409,6.115,8411713,6.330,2418014,6.691,17126,6.930,35950,7.158,81029,7.568,95734,7.813,49206,8.258,149595,8.521,665123,8.688,106703,9.175,88425,9.434,189771,9.954,22452,10.190,16851,10.631,83380,10.969,69956,11.163,292265,11.339
,,157_Sample98,F-058-50-157_SAMPLE98.D,Sample,,10/9/2025 9:40 AM,224702,3.950,137943,4.625,3811899,4.900,171688,5.100,74399,5.695,59680,5.930,2495714,6.115,2511688,6.317,1145638,6.683,19562,6.930,15258,7.158,79086,7.568,30581,7.811,35378,8.262,128099,8.519,664536,8.688,89529,9.175,66979,9.433,172721,9.953,18708,10.190,16225,10.630,85265,10.968,25632,11.162,181826,11.336
,,158_Sample99,F-059-51-158_SAMPLE99.D,Sample,,10/9/2025 10:00 AM,637283,3.950,140411,4.625,11818147,4.900,1317120,5.100,154951,5.695,35152,5.930,3943189,6.115,22149528,6.330,7867224,6.710,67226,6.930,123612,7.158,123774,7.573,235868,7.815,137651,8.258,200232,8.520,884317,8.688,132491,9.175,78287,9.434,181123,9.952,20769,10.190,29423,10.630,116585,10.969,83317,11.162,279472,11.339
,,159_Sample100,F-060-52-159_SAMPLE100.D,Sample,,10/9/2025 10:19 AM,892692,3.950,152000,4.625,15290785,4.900,1559197,5.100,204135,5.695,37155,5.930,5569338,6.163,41155398,6.330,13925907,6.733,75640,6.930,368573,7.163,156853,7.573,599884,7.818,244577,8.258,262669,8.521,1152824,8.693,182149,9.175,96142,9.436,183223,9.953,27840,10.190,39419,10.630,167028,10.973,127960,11.163,478071,11.343
,,160_Blanc05b,F-061-53-160_BLANC05B.D,Sample,,10/9/2025 10:39 AM,90328,3.950,38560,4.625,293321,4.900,10077,5.100,7990,5.695,27604,5.930,258307,6.115,104810,6.309,47784,6.687,17512,6.930,1428,7.180,54203,7.557,30004,7.830,13992,8.231,3241,8.542,2246,8.653,22106,9.175,13796,9.433,178011,9.954,23691,10.190,1359,10.620,11324,10.970,1903,11.135,2623,11.355
,,161_Blanc06b,F-062-54-161_BLANC06B.D,Sample,,10/9/2025 10:58 AM,143426,3.950,48485,4.628,521210,4.900,19387,5.100,28279,5.695,33366,5.930,471115,6.115,168046,6.310,65054,6.687,33144,6.930,1280,7.178,127101,7.552,40958,7.830,6133,8.225,2117,8.545,20974,8.653,29796,9.175,15824,9.437,233582,9.951,20354,10.180,1982,10.591,21731,10.968,1283,11.194,1296,11.381
,,164_Plasma047,F-065-55-164_PLASMA047.D,Sample,,10/9/2025 11:57 AM,478821,3.950,218262,4.637,8937734,4.900,775125,5.100,230975,5.695,55319,5.930,4126527,6.115,11823995,6.330,15785779,6.729,140784,6.930,64573,7.160,135734,7.569,96892,7.813,129822,8.260,554756,8.524,2714402,8.700,166240,9.188,30496,9.436,228975,9.955,20769,10.191,61887,10.632,128086,10.976,114368,11.165,801885,11.353
,,165_Plasma08b,F-066-56-165_PLASMA08B.D,Sample,,10/9/2025 12:17 PM,1299561,3.950,750431,4.625,32615064,4.900,3136896,5.100,356971,5.695,61156,5.908,14210107,6.177,42533459,6.414,59189213,6.806,735090,6.930,288191,7.175,461894,7.575,313867,7.826,499944,8.273,1996241,8.542,10167359,8.738,574364,9.196,100909,9.441,793382,9.973,103844,10.190,241146,10.638,417088,10.993,444500,11.174,3097654,11.374
,,166_Plasma09b,F-067-57-166_PLASMA09B.D,Sample,,10/9/2025 12:37 PM,342390,3.950,186542,4.625,8611335,4.900,578672,5.100,117230,5.695,50360,5.930,4301838,6.133,12120846,6.330,15798646,6.731,148024,6.930,86627,7.162,170453,7.572,104848,7.818,131031,8.263,555595,8.528,2740176,8.704,195543,9.190,25230,9.441,231376,9.962,23066,10.191,67611,10.636,133966,10.983,130202,11.171,837962,11.357
